"msg_passwd_id_combine_ng","Passwords cannot contain ID.","암호에 ID를 포함할 수 없습니다.","暗号はIDを含めることができません。","Пароли не могут содержать логин.","Les mots de passe ne peuvent pas contenir ID.","Wachtwoorden mogen geen ID bevatten.","Passwörter dürfen keine ID enthalten.","Las contraseñas no pueden contener ID.","Le password non possono contenere ID."
"msg_passwd_too_weak_ng_iv","Passwords must include two types of uppercase letters, lowercase letters, numbers, and special characters.","암호는 대문자, 소문자, 숫자 및 특수 문자 중 두 가지 이상의 유형을 포함해야 합니다.","暗号よび特殊文字の三つの類型を含めなければなりません。","Пароли должны содержать два типа: прописные, строчные, числа и специальные символы.","Les mots de passe doivent inclure deux types: lettres majuscules, lettres minuscules, chiffres et caractères spéciaux.","Wachtwoorden moeten tenminste bestaan uit 2 van de volgende keuzes: hoofdletters, kleine letters, cijfers en speciale leestekens.","Passwörter müssen aus zwei Arten von Großbuchstaben, Kleinbuchstaben, Zahlen und Sonderzeichen bestehen.","Las contraseñas deben incluir dos tipos de letras mayúsculas, letras minúsculas, números y caracteres especiales.","Le password devono includere due tipi di lettere maiuscole, lettere minuscole, numeri e caratteri speciali."
"msg_passwd_too_weak","Password should be a combination of at least two types alpahabets and numbers.","비밀번호는 알파벳과 숫자 조합이어야 합니다.","パスワードは少なくとも2つのタイプの文字、すなわちアルファベット、および 数字 の組み合わせでなければなりません。","Пароль должен содержать, как минимум, прописную, строчную буквы и цифры.","Le mot de passe doit être une combinaison d'au moins deux types de lettres et de chiffres.","Wachtwoord moet tenminste uit een combinatie cijfers, hoofd- en kleine letters bestaan.","Das Passwort sollte eine Kombination aus mindestens zwei Arten von Alphabeten und Zahlen sein.","La contraseña debe ser una combinación de al menos dos tipos alfabéticos y números.","La password deve essere una combinazione di almeno due tipi di alfabeti e numeri."
"msg_select_item","Choose the item in the list","목록에서 항목을 선택하세요","リストから項目を選択","Выберите значение из списка","Choisissez l'élément dans la liste","Kies een item uit de lijst","Wählen Sie den Eintrag in der Liste","Seleccione el elemento de la lista","Scegli l'articolo nella lista"
"msg_please_record","Please set the recording at the RECORD menu","레코드 메뉴에서 레코드를 설정해 주세요","録画メニューで録画を設定してください。","Настройте запись в меню Запись.","Veuillez régler l'enregistrement dans le menu ENREGISTREMENT","Stel opnamen AUB in in het OPNAME menu","Bitte stellen Sie die Aufnahme im Aufzeichnungs-Menü ein","Por favor, ajustar la grabación en el menú RECORD","Si prega di impostare la registrazione nel menu REGISTRAZIONE"
"msg_please_actionrule","Please set the action rules at the Action Rules.","동작규칙에서 동작규칙을 설정해 주세요","動作ルールで動作ルールを設定してください。","Настройте правила реакции на события в меню Реакции на события","Veuillez définir les règles d'action dans les règles d'action.","Stel actieregels AUB in in het Actieregel menu.","Bitte stellen Sie die Aktionsregeln in den Aktionsregeln ein.","Por favor, establece las normas de acción a las reglas de acción.","Si prega di impostare le regole di azione in Regole di azione."
"msg_loading_fail","Loading fail. Please refresh page.","읽어오기 실패. 다시 시도해 주세요","読み込みに失敗しました。ページを再読み込みしてください。","Загрузка не удалась. Обновите страницу.","Échec du chargement. Veuillez rafraîchir la page.","Laden mislukt. Ververs (F5) AUB de pagina.","Laden fehlgeschlagen. Bitte aktualisieren Sie die Seite.","Fallo al cargar. Por favor refresque la página.","Caricamento non riuscito. Si prega di aggiornare la pagina."
"msg_default_success_reload","Configuration is changed. Please wait to reload this page","설정이 변경되었습니다. 새로고침을 해주세요","設定が変更されました。このページの再読み込みの間、お待ちください。","Конфигурация устройства изменена. Дождитесь обновления страницы.","La configuration est modifiée. Veuillez patienter pour recharger cette page","Configuratie is gewijzigd. Wacht AUB tot de pagina opnieuw is geladen","Die Konfiguration wurde geändert. Bitte warten, um diese Seite neu zu laden","La configuración se ha cambiado. Por favor espere para recargar esta página","La configurazione è cambiata. Attendi per ricaricare questa pagina"
"msg_default_success_reload_IV","Configuration reset. Please wait before reloading this page","설정이 변경되었습니다. 새로고침을 해주세요","設定が変更されました。このページの再読み込みの間、お待ちください。","Сброс конфигурации. Дождитесь обновления страницы.","Réinitialisation de la configuration. Veuillez patienter avant de recharger cette page","Configuratie gereset. Wacht AUB tot de pagina opnieuw is geladen","Konfiguration zurückgesetzt. Bitte warten Sie, bevor Sie diese Seite neu laden","Restablecimiento de la configuración. Por favor, espere antes de recargar esta página","Ripristino configurazione. Attendi prima di ricaricare questa pagina"
"msg_default_camera_success","Initialize Camera settings!","카메라 설정이 초기화 되었습니다.","カメラ設定を初期化！","Загрузка настроек камеры!","Initialisez les paramètres de l'appareil photo!","Camera-instellingen geïnitialiseerd!","Initialisieren Sie die Kameraeinstellungen!","Inicializar ajustes de la cámara!","Inizializza le impostazioni della fotocamera!"
"msg_default_camera_fail","Can't initialize Camera settings!","카메라 설정 초기화가 실패하였습니다","カメラ設定を初期化できません！","Не выполнена загрузка настроек камеры!","Impossible d'initialiser les paramètres de l'appareil photo!","Kan camera-instellingen niet initialiseren!","Kann die Kameraeinstellungen nicht initialisieren!","No se puede inicializar ajustes de la cámara!","Impossibile inizializzare le impostazioni della fotocamera!"
"msg_upgrade_boot_complete","BOOT upgrade is completed! Now starting KERNEL upgrade......","부트로더 업그레이드가 완료되었습니다.","BOOT のアップグレードが完了しました！これより KERNEL のアップグレードを開始します…","Обновление загрузочной области выполнено! Начинается обновление ядра системы…","La mise à niveau BOOT est terminée! commencez maintenant la mise à niveau de KERNEL ......","BOOT upgrade afgerond! Start nu met de KERNEL upgrade......","BOOT-Upgrade ist abgeschlossen! Startet jetzt das KERNEL-Upgrade......","Actualización BOOT se ha completado! Ahora empezando actualización del kernel ......","L'aggiornamento BOOT è completato! Ora avvio l'aggiornamento del KERNEL......"
"msg_upgrade_boot_process","BOOT upgrade is in progress.......","부트로더 업그레이드가 진행중입니다………..","BOOT のアップグレードが進行中です…","Обновление загрузочной области….","La mise à niveau BOOT est en cours .......","BOOT upgrade is gaande.......","BOOT-Upgrade ist im Gange.......","Actualización BOOT en curso .......","L'aggiornamento BOOT è in corso......."
"msg_upgrade_kernel_complete","KERNEL upgrade is completed! Now starting ROOT_FS upgrade......","커널 업그레이드가 완료되었습니다.","KERNEL のアップグレードが完了しました！これより ROOT_FS のアップグレードを開始します…","Обновление ядра системы выполнено! Начинается обновление файловой системы…","La mise à niveau de KERNEL est terminée! maintenant commencez la mise à niveau ROOT_FS","KERNEL upgrade afgerond! Start nu met ROOT_FS upgrade......","Das KERNEL-Upgrade ist abgeschlossen! Startet jetzt ROOT_FS upgrade......","Actualización del KERNEL completada! Ahora, empezando actualización de root_fs ......","L'aggiornamento del KERNEL è completato! Ora avvio l'aggiornamento di ROOT_FS......"
"msg_upgrade_kernel_process","KERNEL upgrade is in progress.......","커널 업그레이드가 진행중입니다………..","KERNEL のアップグレードが進行中です…","Обновление ядра системы….","La mise à niveau de KERNEL est en cours .......","KERNEL upgrade is gaande.......","KERNEL-Upgrade ist im wird durchgeführt.......","Actualización del KERNEL en curso .......","L'aggiornamento del KERNEL è in corso......."
"msg_upgrade_rootfs_complete","ROOT_FS upgrade is completed.......","루트파일시스템 업그레이드가 완료되었습니다.","ROOT_FS のアップグレードが完了しました…","Обновление файловой системы выполнено…","La mise à niveau de ROOT_FS est terminée .......","ROOT_FS upgrade is afgerond.......","ROOT_FS Upgrade ist abgeschlossen.......","Actualización de Root_fs completada .......","L'aggiornamento di ROOT_FS è stato completato......."
"msg_upgrade_rootfs_process","ROOT_FS upgrade is in progress.......","루트파일시스템 업그레이드가 진행중입니다………..","ROOT_FS のアップグレードが進行中です…","Обновление файловой системы…","La mise à niveau de ROOT_FS est en cours .......","ROOT_FS upgrade is gaande.......","ROOT_FS-Aktualisierung wird durchgeführt.......","Actualización de Root_fs en curso .......","L'aggiornamento di ROOT_FS è in corso......."
"msg_upgrade_ptz_fw_complete","PTZ_FS upgrade is completed.......","PTZ 파일시스템 업그레이드가 완료되었습니다.","PTZ_FS のアップグレードが完了しました…","Обновление файловой системы выполнено…","La mise à niveau de PTZ_FS est terminée .......","PTZ_FS upgrade is afgerond.......","PTZ_FS-Aktualisierung ist abgeschlossen.......","Actualización de PTZ_FS completada .......","L'aggiornamento di PTZ_FS è completato......."
"msg_upgrade_ptz_fw_progress","PTZ_FS upgrade is in progress.......","PTZ 파일시스템 업그레이드가 진행중입니다………..","PTZ_FS のアップグレードが進行中です…","Обновление файловой системы…","La mise à niveau de PTZ_FS est en cours .......","PTZ_FS upgrade is gaande.......","PTZ_FS-Aktualisierung wird durchgeführt.......","Actualización de PTZ_FS en curso .......","L'aggiornamento di PTZ_FS è in corso......."
"msg_upgrade_slave_complete","Slave upgrade is completed......","슬레이브 업그레이드가 완료되었습니다.","Slave upgrade is completed......","Slave upgrade is completed......","La mise à niveau de l'esclave est terminée ......","Slave upgrade is afgerond......","Das Slave-Aktualisierung ist abgeschlossen......","Actualización del slave completada ......","L'aggiornamento dello slave è completato......"
"msg_upgrade_slave_progress","Slave upgrade is in progress......","슬레이브 업그레이드가 진행중 입니다.","Slave upgrade is in progress......","Slave upgrade is in progress......","La mise à niveau de l'esclave est en cours ......","Slave upgrade is gaande......","Das Slave-Aktualisierung ist in wird durchgeführt.......","Actualización del slave en curso ......","L'aggiornamento dello slave è in corso......"
"msg_upgrade_master_complete","Master upgrade is completed......","마스터 업그레이드가 완료되었습니다.","Master upgrade is completed......","Master upgrade is completed......","La mise à niveau principale est terminée ......","Master upgrade afgerond......","Das Master-Aktualisierung ist abgeschlossen......","Actualización del Maestro completada ......","L'aggiornamento principale è completato......"
"msg_upgrade_master_progress","Master upgrade is in progress......","마스터 업그레이드가 진행중 입니다.","Master upgrade is in progress......","Master upgrade is in progress......","La mise à niveau principale est en cours ......","Master upgrade is gaande......","Master-Aktualisierung wird durchgeführt.......","Actualización del Maestro en curso ......","L'aggiornamento principale è in corso......"
"msg_upgrade_fail","Firmware update failed!","업그레이드가 실패하였습니다. !","ファームウェア更新に失敗しました！","Обновление прошивки не выполнено!","La mise à jour du firmware a échoué.!","Firmware update mislukt!","Die Firmware Aktualisierung ist fehlgeschlagen!","Actualización de firmware fallida!","Aggiornamento del firmware non riuscito!"
"msg_upgrade_success","Firmware update completed!","업그레이드가 성공하였습니다. !","ファームウェア更新が完了しました！","Обновление прошивки выполнено!","Mise à jour du firmware terminée.!","Firmware update succesvol!","Die Firmware  Aktualisierung ist abgeschlossen!","Actualización de firmware completada!","Aggiornamento del firmware completato!"
"msg_unsupported_upgrade_version","This version of camera firmware(16.XX) is not supported upgrade.","이 카메라 펌웨어(16.XX) 버전은 업그레이드를 지원하지 않습니다.","this version of camera is not supported upgrade.","Версия прошивки камеры не поддерживается системой.","cette version du firmware de la caméra (16.XX) n'est pas prise en charge.","Deze versie camerafirmware versie (16.XX) wordt niet ondersteund voor een upgrade.","Diese Version der Kamera-Firmware (16.XX) wird beim Upgrade nicht unterstützt.","Esta versión del firmware de la cámara (16.XX) no se admite para la actualización.","Questa versione del firmware della fotocamera (16.XX) non è supportata per l'aggiornamento."
"msg_model_name_does_not_match","FW Model does not match!","FW 모델이 일치하지 않습니다!","FWモデルが一致しません！","Модель FW не соответствует!","Le modèle FW ne correspond pas!","FW Model komt niet overeen!","FW-Modell stimmt nicht überein!","Modelo FW no coincide!","Il modello FW non corrisponde!"
"msg_does_not_support_version_downgrade","FW Does not support version downgrade!","FW 버전 다운 그레이드를 지원하지 않습니다!","FWはバージョンのダウングレードをサポートしていません！","Прошивка не поддерживает обновления на раннюю версию!","FW ne prend pas en charge la rétrogradation de la version!","FW biedt geen ondersteuning voor versie-downgrade!","FW unterstützt kein Versions-Downgrade!","FW no soporta el bajar de versión!","FW Non supporta il downgrade della versione!"
"msg_popmenu_firmwarecheck","Firmware check","펌웨어 체크","ファームウェア確認","Проверка файла прошивки.","Vérification du firmware","Firmware check","Firmware prüfen","Comprobación de firmware","Controllo del firmware"
"msg_firmware_size_is_too_big","Upload file is too big.","업로드 파일이 너무 큽니다.","アップロードファイルが大きすぎます。","Загружаемый файл имеет слишком большой объем.","Le fichier d'importation est trop volumineux.","Upload bestand is te groot.","Die hochgeladene Datei ist zu groß.","Carga de archivos es demasiado grande.","Il file di caricamento è troppo grande."
"setup_max_size","Maximum size","최대 크기","最大サイズ","Максимальный объем","Taille maximum","Maximale grootte","Maximale Größe","Tamaño máximo","Dimensione massima"
"msg_popmenu_firmwareupgrade","Firmware upgrade","펌웨어 업그레이드","ファームウェアアップグレード","Обновление системы","Mise à jour du firmware","Firmware upgrade","Firmwareupgrade","Actualización de firmware","Aggiornamento del firmware"
"msg_upgrade_already","Someone have already tried to upgrade.","누군가가 이미 펌웨어 업그레이드 시도중입니다.","誰かが既にアップグレードを試みました。","Обнаружены попытки обновления.","Quelqu'un a déjà essayé de mettre à niveau.","Iemand heeft al geprobeerd een upgrade door te voeren.","Jemand hat bereits versucht, ein Upgrade durchzuführen.","Alguien ya han tratado de actualizar.","Qualcuno ha già provato ad aggiornare."
"msg_findnew_please_start","Found new firmware. If you want to upgrade, click the /upgrade/ button.","새로운 펌웨어가 발견되었습니다. 업그레이드를 원하시면 업그레이드 버턴을 눌러 주세요.","新しいファームウェアが見つかりました。アップグレードを行うには、 /アップグレード/ ボタンをクリックしてください。","Обнаружена новая версия прошивки. Для обновления, щелкните по кнопке ""Обновить""","Nouveau micrologiciel trouvé. Si vous souhaitez mettre à niveau, cliquez sur le bouton / upgrade /.","Nieuwe firmware gevonden. Als u wilt upgraden klik dan op de  /upgrade/ knop.","Neue Firmware gefunden. Wenn Sie ein Upgrade durchführen möchten, klicken Sie auf die Schaltfläche /upgrade/.","Encontrado nuevo firmware. Si desea actualizar, haga clic en el botón /actualizar/.","Trovato nuovo firmware. Se desideri eseguire l'aggiornamento, fai clic sul pulsante /upgrade/."
"msg_nofind_newestfirmware","Can't find the newest firmware.","최근 펌웨어를 찾을 수 없습니다.","最新のファームウェアが見つかりません。","Не найдена прошивка новее текущей.","Impossible de trouver le dernier firmware.","Kan de nieuwste firmware niet vinden.","Ich kann die neueste Firmware nicht finden.","No se puede encontrar el firmware más reciente.","Impossibile trovare il firmware più recente."
"msg_check_ftp_server","Check the ftp server setting","FTP 주소 설정을 확인해 주세요","ftp サーバー設定を確認","Проверка настроек FTP-сервера.","Vérifiez le paramètre du serveur ftp","Controleer de FTP server Instellingen","Überprüfen Sie die Einstellung des FTP-Servers","Compruebe la configuración del servidor FTP","Controlla le impostazioni del server ftp"
"msg_upgrade_already_runing","Upgrade is already running!","업그레이드가 이미 진행중입니다.","アップグレードが既に実行されています！","Процесс обновления уже запущен!","La mise à niveau est déjà en cours!","Upgrade loopt al!","Upgrade läuft bereits!","Actualización ya se está ejecutando!","L'aggiornamento è già in corso!"
"setup_privacy_message","Please use Google's Chrome browser to change the camera Privacy Mask area. Internet Explorer does not support this function at the time","사생활 보호 설정을 위해서는 구글사의 크롬 브라우져를 사용하십시오. 인터넷 익스플로러는 이 기능을 지원하지 않습니다.","カメラのプライバシーマスクエリアを変更するには、Google のクロームブラウザを使用してください。現在のところ、インターネットエクスプローラーはこの機能をサポートしていません","Используйте браузер Google Chrome, чтобы изменить область маски конфиденциальности камеры. Internet Explorer не поддерживает эту функцию","Veuillez utiliser le navigateur Google Chrome pour modifier la zone du masque de confidentialité de la caméra. Internet Explorer ne prend pas en charge cette fonction à l'époque","Gebruik AUB Google's Chrome browser om het privacy mask gebied van de camera te wijzigen. Internet Explorer ondersteund deze functie op dit moment niet.","Bitte verwenden Sie Googles Chrome-Browser, um den Bereich der Kamera-Privatsphärenmaske zu ändern. Der Internet Explorer unterstützt diese Funktion zur Zeit nicht","Por favor, utilice el navegador Chrome de Google para cambiar el área de la máscara de la cámara de privacidad. Internet Explorer no es compatible con esta función en el momento","Si prega di utilizzare il browser Chrome di Google per modificare l'area della maschera privacy della fotocamera. Internet Explorer non supporta questa funzione al momento"
"msg_profile_choose_profile","Please choose profile","프로파일을 선택해 주세요","プロファイルを選択してください","Выберите профиль","Veuillez choisir un profil","AUB profiel selecteren","Bitte Profil wählen","Por favor, seleccione el perfil","Si prega di scegliere il profilo"
"msg_invalid_text","Input text accepts only alphabet, number, space, and symbol ( [-] [_] [.] [@] ).","입력문자는 알파벳, 숫자, 공백, 일부 특수문자( [-] [_] [.] [@] )만 가능합니다.","入力テキストはアルファベット、数字、スペース、およびシンボル ( [-] [_] [.] [@] ) のみを受けとります。","Поддерживается только ввод букв, цифр, пробелов и символов ([-] [_] [.] [@] ).","Le texte saisi accepte uniquement les lettres, le nombre, l'espace et le symbole ([-] [_] [.] [@]).","Invoer mag alleen bestaan uit cijfers, letters, spaties en de volgende symbolen ( [-] [_] [.] [@] ).","Bei der Texteingabe sind nur Alphabet, Zahl, Leerzeichen und Symbol ( [-] [_] [.] [@] ) zulässig.","Texto de entrada sólo acepta alfabeto, número, espacio, y los símbolos ([-] [_] [@] [.]).","Il testo di input accetta solo lettere, numeri, spazi e simboli ( [-] [_] [.] [@] )."
"msg_invalid_text_length","Input text cannot be exceed limited.","입력문자의 제한 길이를 초과할 수 없습니다.","入力テキストは制限を超えることはできません。","Введенный текст не может превышать ограничение по количеству символов.","Le texte saisi ne peut pas dépasser la limite.","Invoer tekst mag de limiet niet overschrijden.","Der Eingabetext kann nicht übermäßig begrenzt werden.","Texto de entrada no puede supera el límite.","Il testo di input non può essere oltre il limite."
"msg_exceed_users","Addtional users can be up to 5 people.","사용자 추가는 최대 5명 까지 가능합니다.","追加のユーザーは最大5人です。","Дополнительных пользователей может быть до 5 человек.","Les utilisateurs supplémentaires peuvent compter jusqu'à 5 personnes.","Er kunnen tot 5 gebruikers worden toegevoegd.","Zusätzliche Benutzer können bis zu 5 Personen sein.","Hasta 5 usuarios adicionales.","Gli utenti aggiuntivi possono essere fino a 5 persone."
"msg_exceed_users32","Addtional users can be up to 32 people.","사용자 추가는 최대 32명 까지 가능합니다.","追加のユーザーは最大32人です。","Дополнительных пользователей может быть до 32 человек.","Les utilisateurs supplémentaires peuvent compter jusqu'à 32 personnes.","Er kunnen tot 32 gebruikers worden toegevoegd.","Zusätzliche Benutzer können bis zu 32 Personen sein.","Hasta 32 usuarios adicionales.","Gli utenti aggiuntivi possono essere fino a 32 persone."
"msg_get_newfw","The new firmware has been found.","새로운 펌웨어가 발견 되었습니다.","新しいファームウェアが見つかりました。","Была обнаружена новая версия прошивки.","Le nouveau firmware a été trouvé.","Er is nieuwe firmware gevonden.","Die neue Firmware ist gefunden worden.","El nuevo firmware se ha encontrado.","Il nuovo firmware è stato trovato."
"msg_check_ip","Check IP Address.","IP 주소를 확인해주세요","IP アドレスを確認してください。","Проверка IP-адреса.","Vérifiez l'adresse IP.","IP Adres controleren.","IP Adresse prüfen","Compruebe la dirección IP.","Controlla l'indirizzo IP."
"msg_check_subnet","Check Subnet Mask.","서브넷 마스크를 확인해주세요.","サブネットマスクを確認してください。","Проверка маски подсети.","Vérifiez le masque de sous-réseau.","Subnet Mask controleren.","Subnetzmaske prüfen","Compruebe la máscara de subred.","Controlla la maschera di sottorete."
"msg_check_gateway","Check Default Gateway.","기본 게이트웨이를 확인해주세요.","デフォルトゲートウェイを確認してください。","Проверка шлюза.","Vérifiez la passerelle par défaut.","Standaard Gateway controleren.","Standard-Gateway prüfen","Compruebe puerta de enlace predeterminada.","Seleziona Gateway predefinito."
"msg_same_ip_gateway","IP Address and Gateway have to be on the same network.","IP주소와 기본 게이트웨이는 반드시 같은 네트워크 상에 있어야 합니다.","IPアドレスとゲートウェイは同じネットワーク上になければなりません。","IP-адрес и шлюз не из одной подсети.","L'adresse IP et la passerelle doivent être sur le même réseau.","IP Adres en Gateway moeten in hetzelfde netwerk zitten.","IP-Adresse und Gateway müssen sich im selben Netzwerk befinden.","Dirección IP y Gateway tienen que estar en la misma red.","Indirizzo IP e gateway devono essere sulla stessa rete."
"msg_check_main_dns","Check Preferred DNS Server","주 DNS 서버를 확인해주세요","優先 DNS サーバーを確認してください。","Проверка основного DNS-сервера.","Vérifier le serveur DNS préféré","Primaire DNS Server controleren","Bevorzugten DNS-Server prüfen","Compruebe Servidor DNS preferido","Controlla il server DNS preferito"
"msg_check_sub_dns","Check Alternate DNS Server","보조 DNS 서버를 확인해주세요","代替 DNS サーバーを確認してください。","Проверка альтернативного DNS-сервера.","Vérifier le serveur DNS alternatif","Secundaire DNS Server controleren","Alternativer DNS-Server prüfen","Compruebe Servidor DNS alternativo","Controlla il server DNS alternativo"
"msg_rtsp_check_portnumber","The range of port number is from 1025 to 60000 or 554. Please check the RTSP Port.","포트번호의 범위는 1025부터 60000까지 또는 554번 입니다. RTSP 포트 번호를 확인해주세요","ポート番号の範囲は 1025 から 60000 まで、または 554 です。RTSP ポートを確認してください。","Значение номера порта должно быть в диапазоне от 1025 до 60000 или 554. Проверьте введенное значение RTSP-порта.","La plage de numéros de port est comprise entre 1025 et 60000 ou 554. Veuillez vérifier le port RTSP.","Het poortnummerbereik loopt van 1025 tot 60000 of is 554. Controleer AUB de RTSP Poort.","Der Bereich der Portnummer reicht von 1025 bis 60000 oder 554. Bitte prüfen Sie den RTSP-Port.","El rango de número de puerto es 1025-60000 o 554. Por favor, compruebe el puerto RTSP.","L'intervallo del numero di porta è compreso tra 1025 e 60000 o 554. Controllare la porta RTSP."
"msg_http_check_portnumber","The range of port number is from 1025 to 60000 or 80. Please check the HTTP Port.","포트번호의 범위는 1025부터 60000까지 또는 80번 입니다. HTTP 포트 번호를 확인해주세요","ポート番号の範囲は 1025 から 60000 まで、または 80 です。HTTP ポートを確認してください。","Значение номера порта должно быть в диапазоне от 1025 до 60000 или 80. Проверьте введенное значение HTTP-порта.","La plage de numéros de port est comprise entre 1025 et 60000 ou 80. Veuillez vérifier le port HTTP.","Het poortnummerbereik loopt van 1025 tot 60000 of is 80. Controleer AUB de HTTP Poort.","Der Bereich der Portnummer reicht von 1025 bis 60000 oder 80. Bitte prüfen Sie den HTTP-Port.","El rango de número de puerto es 1025-60000 o 80. Por favor, compruebe el puerto HTTP.","L'intervallo del numero di porta è compreso tra 1025 e 60000 o 80. Controllare la porta HTTP."
"html_error_404","Video File Not Found","비디오 파일을 찾을 수 없습니다.","ビデオファイルが見つかりません","Видео файл не найден","Fichier vidéo introuvable","Video bestand niet gevonden","Videodatei nicht gefunden","Archivo de vídeo no encontrado.","File video non trovato"
"msg_check_action_name","The Action rule name is already in use","액션 규칙 이름이 이미 존재 합니다.","動作ルール名は既に使用されています","Название правила уже используется","Le nom de la règle d'action est déjà utilisé","De actieregel naam is al in gebruik","Der Name der Aktionsregel ist bereits in Gebrauch","El nombre de la regla de acción ya está en uso","Il nome della regola di azione è già in uso"
"msg_check_event_name","The Event rule name is already in use","이벤트 규칙 이름이 이미 존재 합니다.","イベントルール名は既に使用されています","Название события уже используется","Le nom de la règle d'événement est déjà utilisé","De gebeurtenisregel naam is al in gebruik","Der Name der Ereignisregel ist bereits in Gebrauch","El nombre de la regla de eventos ya está en uso","Il nome della regola dell'evento è già in uso"
"msg_setting_event_rule","This rule set is required.","규칙 설정이 필요 합니다.","このルールセットが必要です。","Требуется настройка правила.","Cet ensemble de règles est requis.","Deze regelinstelling is vereist.","Dieser Regelsatz ist erforderlich.","Se requiere este conjunto de reglas.","Questo set di regole è obbligatorio."
"msg_setting_event_needed","The event needs more than one.","이벤트가 최소 하나 이상이어야 합니다.","イベントは1つよりも多く必要です。","Необходимо создать более одного события.","L'événement en a besoin de plus d'un.","De gebeurtenis moet meer dan 1 regel bevatten.","Das Ereignis braucht mehr als einen.","El evento necesita más de uno.","L'evento ha bisogno di più di uno."
"msg_ip_filter_conflict","This type need surely to one more IP address","이 모드는 하나 이상의 IP 주소가 필요합니다.","このタイプはもう1つの IP アドレスが必ず必要です","Для данного типа обязателен еще один IP-адрес","ce type a sûrement besoin d'une adresse IP de plus","Dit IP adres is al in gebruik","Dieser Typ benötigt sicherlich eine weitere IP-Adresse","Este tipo necesita apuntar a más de una dirección IP","Questo tipo necessita sicuramente di un altro indirizzo IP"
"msg_ip_filter_conflict_iv","At least one IP address should be added in the filtered IP address list.","이 모드는 하나 이상의 IP 주소가 필요합니다.","このタイプはもう1つの IP アドレスが必ず必要です","В отфильтрованный список IP-адресов следует добавить хотя бы один IP-адрес.","Au moins une adresse IP doit être ajoutée dans la liste des adresses IP filtrées.","At least one IP address should be added in the filtered IP address list.","Es sollte mindestens eine IP-Adresse in die Liste der gefilterten IP-Adressen aufgenommen werden.","Al menos una dirección IP debe ser añadida en la lista del filtro de direcciones IP.","È necessario aggiungere almeno un indirizzo IP nell'elenco degli indirizzi IP filtrati."
"storage_for_sdcard_message1","If SD Card does not automatically mount, you must format for mounting SD card.","SD 카드가 자동으로 마운트되지 않는 경우 SD 카드를 마운트하기 위해 포맷해야 합니다.","SD カードが自動的にマウントされない場合は、SD カードをマウントするためにフォーマットする必要があります。","Если карта памяти не определилась автоматически, её необходимо отформатировать.","Si la carte SD ne se monte pas automatiquement, vous devez formater pour le montage de la carte SD.","Als de SD Kaart niet automatisch koppelt dient u deze eerst te formateren.","Falls die SD-Karte nicht automatisch hinzugefügt wird, muss Sie formatiert werden","Si la tarjeta SD no se monta automáticamente, debe formatearla para el montaje de la tarjeta SD.","Se la scheda SD non si monta automaticamente, è necessario formattare per montare la scheda SD."
"h264_extension_option","Extension Option","확장 옵션","拡張オプション","SVC","Option d'extension","Extensie Optie","Option Erweiterung","Opción de extensión","Opzione di estensione"
"h264_exention_mode1","B-Frame On(BP)","B 프레임 활성화(BP)","B-フレームオン (BP)","B-кадр вкл.","B-Frame On(BP)","B-Frame Aan (BP)","B-Frame On(BP)","B-Frame On (BP)","B-Frame On (BP)"
"h264_exention_mode2","B-Frame On(BBP)","B 프레임 활성화(BBP)","B-フレームオン (BBP)","B-кадр вкл.","B-Frame On(BBP)","B-Frame Aan (BP)","B-Frame On(BBP)","B-Frame On (BBP)","B-Frame attivato (BBP)"
"h264_exention_mode3","SVC-T On","SVC-T 활성화","SVC-T オン","Временное масштабирование","SVC-T On","SVC-T Aan","SVC-T On","SVC-T Encendido","SVC-T On"
"setup_https_port","HTTPS Port","HTTPS 포트","HTTPS ポート","HTTPS порт","Port HTTPS","HTTPS Poort","HTTPS Port","Puerto HTTPS","Porta HTTPS"
"setup_https","HTTPS","HTTPS","HTTPS","HTTPS","HTTPS","HTTPS","HTTPS","HTTPS","HTTPS"
"Service","Service","서비스","サービス","Обслуживание","Un service","Service","Service","Servicio","Servizio"
"service_configuration","SERVICE CONFIGURATION","서비스 설정","サービス設定","СЕРВИСНОЕ УПРАВЛЕНИЕ","CONFIGURATION DU SERVICE","VERBINDING CONFIGURATIE","SERVICE-KONFIGURATION","Servicio de configuración","CONFIGURAZIONE DEL SERVIZIO"
"telnet_service","Telnet","텔넷","テルネット","Доступ Telnet","Telnet","Telnet","Telnet","Telnet","Telnet"
"ssh_service","SSH","SSH","SSH","Доступ SSH","SSH","SSH","SSH","SSH","SSH"
"setup_password_type","Type the Password","비밀번호를 입력하세요","パスワードを打ち込んでください","Введите пароль","Tapez le mot de passe","Geeft wachtwoord in","Passwort eingeben","Escriba la contraseña","Digita la password"
"setup_password_very_weak","Very Weak","매우 약함","とても弱い","Очень простой","Très faible","Zeer zwak","Sehr schwach","Muy débil","Molto debole"
"setup_password_weak","Weak","약함","弱い","Простой","Faible","Zwak","Schwach","Débil","Debole"
"setup_password_good","Good","좋음","良い","Нормальный","Bien","Goed","Gut","Buena","Bene"
"setup_password_strong","Strong","강함","強い","Сложный","Fort","Sterk","Stark","Fuerte","Forte"
"setup_event_temperature","TEMPERATURE","온도","温度","НАСТРОЙКА ТЕМПЕРАТУРНОГО ДАТЧИКА","TEMPÉRATURE","TEMPERATUUR","Temperatur","TEMPERATURA","TEMPERATURA"
